央视,#genre#
CCTV1综合,http://cfss.cc/api/ysp/cctv1.m3u8
CCTV1综合,http://hms364nc1972679592.live.aikan.miguvideo.com/wh7f454c46tw1171958984_534934648/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112331&ContentId=265183188&timezone=UTC&mtv_session=c26e8b0bc9693741cb9d8a4df42627c3&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b8538ac7739866cdc47e0b7bcd064d7c
CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2财经,http://hms184nc1972679575.live.aikan.miguvideo.com/wh7f454c46tw1240524583_-1899064651/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112440&ContentId=265667329&timezone=UTC&mtv_session=2360116711f7f90917032e30279ad628&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=880287edd8ba440525e3e9c43ae4270f
CCTV2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV3综艺,http://hms204nc1972679577.live.aikan.miguvideo.com/wh7f454c46tw1618944970_1440981795/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009113058&ContentId=265667206&timezone=UTC&mtv_session=66d771501f0b2a9a3531173f01eec208&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=106c348eaf61ec1f8e38a8f2bb063749
CCTV4中文国际,http://hms164nc1972679573.live.aikan.miguvideo.com/wh7f454c46tw1299610627_3760310/wd_r2/cctv/cctv4hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112539&ContentId=265667639&timezone=UTC&mtv_session=82a8620d9c5f1ceb7edd66db2cb0a708&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7f5924448b476583b7165909876ff574
CCTV4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5体育,http://cfss.cc/api/ysp/cctv5.m3u8
CCTV5体育,http://hms424nc1972679599.live.aikan.miguvideo.com/wh7f454c46tw1568976289_-540850484/wd_r2/cctv/cctv5hdnew/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009113008&ContentId=265667565&timezone=UTC&mtv_session=3d83193d2287087b35d8712d5c966330&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=255f427d8685a69cfb9aec314b21de3b
CCTV5体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV6电影,http://hms84nc1972679564.live.aikan.miguvideo.com/wh7f454c46tw1384179642_271896890/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112703&ContentId=265667482&timezone=UTC&mtv_session=24549f45abfaacc46011b44f3773f572&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b3ff1ce0e108eb13a1711c3bbb46c453
CCTV7国防军事,http://hms444nc1972679600.live.aikan.miguvideo.com/wh7f454c46tw1414534689_1671627527/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112734&ContentId=265667268&timezone=UTC&mtv_session=8ff43e427cedce0cfc74e833229b237c&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=031c82d5638aef3822f6e4d313d0fac7
CCTV8电视剧,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV9中文纪录,http://hms444nc1972679601.live.aikan.miguvideo.com/wh7f454c46tw1538833770_-1896427682/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112938&ContentId=265667202&timezone=UTC&mtv_session=7af78d31573a4e81f99b6ec49aaa0067&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9c916acd76b6891a3638a6ae5eeafde4
CCTV9中文纪录,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10科教,http://cfss.cc/api/ysp/cctv10.m3u8
CCTV10科教,http://hms424nc1972679599.live.aikan.miguvideo.com/wh7f454c46tw1518623647_1494711078/wd_r2/ocn/cctv10hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112918&ContentId=265667631&timezone=UTC&mtv_session=c6a1456c71df27ccbfc38971ff8e0127&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=928689e9c77f004aa8f3318b936f18cb
CCTV10科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV11戏曲,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225776/1.m3u8
CCTV12社会与法,http://hms204nc1972679576.live.aikan.miguvideo.com/wh7f454c46tw1762671442_-907098700/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009113322&ContentId=265667607&timezone=UTC&mtv_session=98268c476fbe9d3eb4044eeda6446d3a&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b562e9bb675dd74b385f1d853ae39987
CCTV13新闻,http://cfss.cc/api/ysp/cctv13.m3u8
CCTV13新闻,http://hms64nc1972679562.live.aikan.miguvideo.com/wh7f454c46tw2195317529_-579053317/envivo_x/2018/SD/cctv13/2000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.150.223.57&timestamp=20220901001530&ContentId=265667474&timezone=UTC&mtv_session=0a6fb44407e1ad9b042cc6a8253a8103&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8795adf8ba9ef3562857b27afe6b9819
CCTV13新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14少儿,http://hms504nc1972679606.live.aikan.miguvideo.com/wh7f454c46tw1800158879_-60563745/wd_r2/ocn/cctv14hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009113359&ContentId=265667325&timezone=UTC&mtv_session=019be53130578693760242ed5e082ca3&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f5e59fa09bd9fa9faeff21454669d1f0
CCTV15音乐,http://hms364nc1972679593.live.aikan.miguvideo.com/wh7f454c46tw1817078494_-1321986038/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009113416&ContentId=265667535&timezone=UTC&mtv_session=d267e07f03a2a3c03145a8e1b5e12fb5&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=94374b5eefceb85a2faf9d06c99d6c34
CCTV16奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV16奥林匹克,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV16奥林匹克,https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K
CCTV17农业农村,http://hms404nc1972679597.live.aikan.miguvideo.com/wh7f454c46tw1903277306_677794184/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009113542&ContentId=265667526&timezone=UTC&mtv_session=cc2a96cc5a0c7e3e215456d53b754cff&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8da7d0449c01a53371a6f67c9d22e58b
CCTV5+体育赛事,http://hms104nc1972679567.live.aikan.miguvideo.com/wh7f454c46tw1362635896_1137920343/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.29.184&timestamp=20221009112642&ContentId=265106763&timezone=UTC&mtv_session=f345910ef7bec9a624326db376a8635a&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8cd67c9371949524de4a2d82599c3764
CCTV5+体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV4K,https://hu60.cn/download/cctv/ysp1.php
风云音乐,http://cfss.cc/api/ysp/fyyy.m3u8
风云足球,http://cfss.cc/api/ysp/fyzq.m3u8
高尔夫网球,http://cfss.cc/api/ysp/gefwq.m3u8
老故事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
文化精品,http://cfss.cc/api/ysp/whjp.m3u8
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8
CGTN纪录,https://livedoc.cgtn.com/1000d/prog_index.m3u8
CGTN纪录,http://cfss.cc/api/ysp/cgtnjl.m3u8
CGTN纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN法语,http://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN法语,https://news.cgtn.com/resource/live/french/cgtn-f.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN俄语,http://cfss.cc/api/ysp/cgtnr.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN阿拉伯语,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN阿拉伯语,https://livear.cgtn.com/1000a/prog_index.m3u8
CGTN西班牙语,http://livees.cgtn.com/500e/prog_index.m3u8
CGTN西班牙语,https://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
CGTN西班牙语,https://livees.cgtn.com/1000e/prog_index.m3u8
1905电影,http://nas.jdshipin.com:8801/1905.php?id=1905dy

卫视,#genre#
湖南卫视,https://live.metshop.top/hbgd.php?id=hnwshd_3000
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
江苏卫视,http://cfss.cc/api/ysp/jsws.m3u8
